place_id,name,address,city,province,postal_code,phone,website,category,capacity_min,capacity_max,coordinator_name,coordinator_email,coordinator_phone,venue_type,catering,accommodations,indoor_outdoor,rating,review_count,google_closed,has_weddings_page,weddings_page_url,has_packages,packages,has_pricing,has_testimonials,booking_platform,instagram_handle,wedding_readiness_score,score_reasoning,description,source,scraped_at,enriched_at
ChIJq67mPFxf04kRp56NJKBlzZ0,The Gate House,"142 Queen St, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 468-4552,https://124queen.com/,Wedding Venue,,,,,,hotel,unknown,yes,both,4.4,181,no,yes,https://124queen.com/niagara-on-the-lake-weddings/,yes,"Custom menus, personalized planning, unique venues available",no,no,,,85,"Dedicated weddings page at boutique hotel in premier wedding destination with custom packages, personalized planning, and multiple venue options clearly marketed.","124 on Queen Hotel and Spa offers dream weddings in Niagara-on-the-Lake with unique venues, custom menus, and personalized planning in an intimate boutique setting.",google_places,2026-05-17T23:04:38.348332,2026-05-18T00:52:49.618964+00:00
ChIJYdIWVZ5f04kRKtrmm-H_Jtc,Kurtz Orchards Weddings Niagara on the Lake,"16006 Niagara River Pkwy, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 468-2937,http://www.kurtzorchards.com/,Wedding Venue,,,,,,winery,unknown,unknown,both,4.3,363,no,yes,https://kurtzorchards.com/niagara-weddings/,no,,no,no,,,92,"Dedicated luxury wedding page at an established Niagara winery with clear focus on weddings, picturesque outdoor and indoor settings, exclusive location positioning, and strong commitment to service.",Kurtz Orchards offers Niagara's most beautiful wedding setting where elegant tradition meets cultivated style with gorgeous venues and scrumptious cuisine.,google_places,2026-05-17T23:04:38.960357,2026-05-18T00:52:56.725795+00:00
ChIJ3WBut3Nf04kRUt86mie2LeY,The Gardens at Pillar and Post,"526 Regent St, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 468-2123,https://www.vintage-hotels.com/pillar-and-post/the-gardens-at-pillar-and-post/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_term=The+Gardens&utm_content=Website,Wedding Venue,,,,,,hotel,unknown,yes,outdoor,4.6,91,no,yes,https://www.vintage-hotels.com/pillar-and-post/the-gardens-at-pillar-and-post/,no,,no,no,,,92,"Premier wedding venue at an established boutique hotel with dedicated Gardens page specifically mentioning weddings as a primary use, Monet-inspired setting, and clear event infrastructure.",Monet-inspired gardens at the prestigious Pillar and Post hotel offering an elegant outdoor setting for romantic weddings and special celebrations in Niagara-on-the-Lake.,google_places,2026-05-17T23:04:39.577494,2026-05-18T00:53:04.689636+00:00
ChIJJaFSfuVB04kRtVLqSS4DDjk,"Gracewood Estates, Kurtz Orchards","16052 Niagara River Pkwy, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 468-2937,https://www.kurtzorchards.com/niagara-wed-events/gracewood-estate-wedding/,Wedding Venue,,,,,,estate,unknown,unknown,both,4.6,14,no,yes,https://www.kurtzorchards.com/niagara-wed-events/gracewood-estate-wedding/,no,,no,no,,,92,Dedicated Gracewood Estate wedding page within a known orchard/winery property with clear wedding focus in URL structure and page title.,Gracewood Estate at Kurtz Orchards offers a picturesque Niagara wedding setting surrounded by orchards and vineyards. An elegant estate venue ideal for couples.,google_places,2026-05-17T23:04:40.183388,2026-05-18T00:53:17.894925+00:00
ChIJq6pWpDVc04kR_NhjtvcUWJM,Gem Weddings Of Niagara,"1425 Line 8 Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 328-9939,https://www.teamawesomeweddings.com/gem-weddings-niagara,Wedding Venue,,,,,,other,unknown,unknown,outdoor,4.6,11,no,yes,https://www.teamawesomeweddings.com/gem-weddings-niagara/weddings,no,,no,no,,,85,Dedicated weddings page with 'Gem Weddings' branding and '/weddings' URL indicates this is an active wedding venue with clear focus on ceremonies.,Gem Weddings of Niagara specializes in intimate outdoor wedding ceremonies in the beautiful Niagara region. A dedicated wedding service for couples seeking simplicity.,google_places,2026-05-17T23:04:40.789932,2026-05-18T00:53:27.293930+00:00
ChIJAfJd2_JR04kRLcHAck2Xt_M,Sorella Farms est 1881,"2024 Third Street Louth, St. Catharines, ON L2S 0B7, Canada",St. Catharines,ON,L2S 0B7,(905) 980-4855,http://www.sorellafarms.ca/,Wedding Venue,,,,,,farm,unknown,unknown,unknown,4.9,53,no,yes,http://www.sorellafarms.ca/weddings,no,,no,no,,,75,"Dedicated weddings page exists at a historic farm venue (est 1881), indicating weddings are a clear part of their business even though specific details are not visible in the HTML code provided.","Historic farm venue established in 1881 offering a rustic, authentic setting for wedding celebrations with timeless charm and character.",google_places,2026-05-17T23:04:41.373049,2026-05-18T00:53:37.905342+00:00
ChIJrQ_XKhNf04kRwmrBMkPFAYM,Pillar and Post Inn & Spa,"48 John St W, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 468-2123,https://www.vintage-hotels.com/pillar-and-post/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business,Wedding Venue,,,,,,hotel,unknown,yes,unknown,4.4,2711,no,yes,https://www.vintage-hotels.com/pillar-and-post/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business/weddings,no,,no,no,,,75,"Established hotel and spa with weddings clearly in their Google My Business strategy, indicating active wedding business despite limited detail on this homepage.","Historic Pillar and Post Inn & Spa offers country elegance in Niagara-on-the-Lake with on-site spa, fine dining, and accommodations for wedding celebrations.",google_places,2026-05-17T23:04:42.090448,2026-05-18T00:53:45.836291+00:00
ChIJz1TDAchY04kRAgl17kAbIVs,Ironwood Cider House,"1425 Lakeshore Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 468-8878,http://www.ironwoodcider.ca/,Wedding Venue,,,,,,brewery,unknown,unknown,unknown,4.4,306,no,no,,no,,no,no,,,15,"This is a contemporary cider house focused on retail, tastings, and online sales with no visible wedding or private events content.","Ironwood Cider House is a contemporary cidery in Niagara-on-the-Lake offering artisan ciders, tastings, and retail. Contact them to inquire about availability.",google_places,2026-05-17T23:04:42.666068,2026-05-18T00:54:02.038441+00:00
ChIJgQUQEXVD04kR9EN3PqKWDSg,Niagara Parks Weddings,"7400 Portage Rd, Niagara Falls, ON L2E 6T2, Canada",Niagara Falls,ON,L2E 6T2,(905) 356-2217 ext. 4,https://www.niagaraparks.com/weddings/,Wedding Venue,,,,,,conservation area,unknown,unknown,both,5,3,no,yes,https://www.niagaraparks.com/weddings/weddings,no,,no,no,,,75,"This is Niagara Parks' official weddings page with dedicated URL structure, clearly positioning themselves as an active wedding venue despite limited visible details in the scraped content.",Niagara Parks offers stunning natural backdrops for weddings across their iconic locations. Exchange vows surrounded by world-famous scenery and gardens.,google_places,2026-05-17T23:04:43.288091,2026-05-18T00:54:11.587899+00:00
ChIJgYSjNwA104kRLjl5Is8Ozf4,Kehoe & Kin - Niagara Wedding Barn Venue,"31684 Dixie Rd, Wainfleet, ON L0S 1V0, Canada",Wainfleet,ON,L0S 1V0,,https://www.kehoeandkin.com/,Wedding Venue,130,200,,,,barn,unknown,unknown,both,4.9,137,no,yes,https://www.kehoeandkin.com,no,,no,no,,,92,"Premier wedding barn venue with explicit wedding focus in meta description, clear capacity stated (130 seated, 200 standing), restored century barn with photography features and copper cupola specifically positioned for weddings.",Century-old restored barn in Niagara with three levels perfect for photography. Seats 130 for dinner or 200 standing with country chic farm backdrop.,google_places,2026-05-17T23:04:43.882465,2026-05-18T00:54:25.133089+00:00
