place_id,name,address,city,province,postal_code,phone,website,category,capacity_min,capacity_max,coordinator_name,coordinator_email,coordinator_phone,venue_type,catering,accommodations,indoor_outdoor,rating,review_count,google_closed,has_weddings_page,weddings_page_url,has_packages,packages,has_pricing,has_testimonials,booking_platform,instagram_handle,wedding_readiness_score,score_reasoning,description,source,scraped_at,enriched_at
ChIJs6Elz500K4gRT1jWAsHIfGE,Casa Loma,"1 Austin Terrace, Toronto, ON M5R 1X8, Canada",Toronto,ON,M5R 1X8,(416) 923-1171,https://www.casaloma.ca/,Wedding Venue,,,,,,estate,unknown,unknown,both,4.5,33414,no,yes,https://www.casaloma.ca/weddings,no,,no,no,,,75,"Casa Loma is Toronto's iconic castle estate with a dedicated weddings URL, clearly positioning itself as a wedding venue despite limited details visible in the HTML code provided.",Exchange vows in Toronto's majestic castle. Casa Loma offers historic elegance and breathtaking architecture for unforgettable wedding celebrations.,import:ontario_heritage_venues,2026-05-18T11:28:36.953696+00:00,2026-05-18T11:56:49.929602+00:00
ChIJRTL7KtdwKogRq1HChw3A1Gk,Blue Mountain,"190 Gord Canning Dr, The Blue Mountains, ON L9Y 1C2, Canada",Collingwood,ON,L9Y 1C2,(833) 583-2583,https://www.bluemountain.ca/,Wedding Venue,,,,,,resort,unknown,yes,unknown,4.4,20153,no,yes,https://www.bluemountain.ca/weddings,unknown,,no,no,,,92,"Premier mountain resort with dedicated weddings page, bills itself as 'Canada's #1 Mountain Wedding Destination' with wedding coordinators and galleries mentioned in meta description.",Blue Mountain Resort is Canada's premier mountain wedding destination offering stunning Ontario scenery and professional wedding coordination services.,import:ontario_heritage_venues,2026-05-18T11:27:59.241794+00:00,2026-05-18T11:54:46.725860+00:00
ChIJJ0fOv6TM1IkRka89i2s5JJA,Evergreen Brick Works,"550 Bayview Ave, Toronto, ON M4W 3X8, Canada",Toronto,ON,M4W 3X8,(416) 596-7670,https://www.evergreen.ca/evergreen-brick-works/,Wedding Venue,,,,,,conservation area,unknown,unknown,both,4.6,9784,no,yes,https://www.evergreen.ca/evergreen-brick-works/host-your-event/weddings/,no,,no,no,,,72,"Has dedicated weddings page and is described as one of Toronto's most unique wedding venues with heritage buildings surrounded by nature, though specific details are limited.",Heritage industrial buildings nestled in nature create a unique Toronto wedding setting. Evergreen Brick Works blends historic architecture with lush surroundings.,import:ontario_heritage_venues,2026-05-18T11:28:33.003535+00:00,2026-05-18T11:56:39.912244+00:00
ChIJE5ogNvacLIgRi6iKaHvgNcc,Royal Botanical Gardens,"680 Plains Rd W, Burlington, ON L7T 4H4, Canada",Burlington,ON,L7T 4H4,(905) 527-1158,https://www.rbg.ca/,Wedding Venue,,,,,,conservation area,unknown,unknown,both,4.6,7818,no,yes,https://www.rbg.ca/venues-rentals/weddings/,no,,no,no,,,85,"Dedicated weddings page at a botanical garden venue with clear SEO optimization for wedding searches and professional photography, indicating active wedding business.",Royal Botanical Gardens offers unique wedding venues across Hamilton and Burlington with stunning natural backdrops and personalized service for your celebration.,google_places,2026-05-17T23:21:25.877704+00:00,2026-05-18T01:23:35.692816+00:00
ChIJRZDfKP4EzkwRBRK0cMq74no,Fairmont Château Laurier,"1 Rideau St, Ottawa, ON K1N 8S7, Canada",Ottawa,ON,K1N 8S7,(613) 241-1414,https://www.fairmont.com/laurier-ottawa/?goto=fiche_hotel&code_hotel=A570&merchantid=seo-maps-CA-A570&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Wedding Venue,,,,,,hotel,unknown,yes,both,4.4,6968,no,yes,https://www.fairmont.com/laurier-ottawa/weddings,unknown,,no,no,,,85,"Historic luxury Fairmont hotel with clear weddings URL path, over a century of hosting high-profile events, and full hotel accommodations infrastructure.","A grand historic château in downtown Ottawa, this iconic Fairmont hotel has hosted royalty and dignitaries for over a century, offering elegant ballrooms and luxurious accommodations.",import:ontario_heritage_venues,2026-05-18T11:31:17.029625+00:00,2026-05-18T12:10:24.083078+00:00
ChIJ_QPLyvBa04kRW9IL73-PL3Y,White Oaks Conference Resort and Spa,"253 Taylor Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(800) 263-5766,http://www.whiteoaksresort.com/,Wedding Venue,,,,,,resort,unknown,yes,unknown,4.7,6704,no,yes,https://www.whiteoaksresort.com/weddings/,unknown,,no,unknown,,@white_oaks,92,"Premier resort with dedicated weddings page, professional SEO optimization for wedding searches, and clear positioning as a Niagara-on-the-Lake wedding destination with accommodations.",White Oaks Resort & Spa offers elegant Niagara-on-the-Lake weddings with full resort amenities. Your perfect event partner for a dream celebration.,google_places,2026-05-17T23:05:14.914328,2026-05-18T00:59:19.638961+00:00
ChIJmbykCwxD04kRSrII9Om84d8,Wyndham Grand Fallsview Hotel,"6455 Fallsview Blvd, Niagara Falls, ON L2G 3V9, Canada",Niagara Falls,ON,L2G 3V9,(905) 357-5200,https://www.wyndhamhotels.com/wyndham-grand/niagara-falls-ontario/wyndham-grand-fallsview-hotel/overview,Wedding Venue,,,,,,hotel,unknown,yes,unknown,3.9,6163,no,no,,no,,no,no,,,75,"Wyndham Grand is an upscale hotel brand in Niagara Falls, a premier wedding destination, and likely has event facilities though specifics aren't on this overview page.",Wyndham Grand Fallsview Hotel offers sophisticated accommodations with premium amenities in Niagara Falls. An elegant hotel setting for couples seeking memorable celebrations.,import:ontario_golf_venues,2026-05-18T11:27:00.415982+00:00,2026-05-18T11:51:18.370394+00:00
ChIJ6VTP1EHN1IkRJ_ivXl_DSSM,Toronto Botanical Garden,"777 Lawrence Ave E, North York, ON M3C 1P2, Canada",Toronto,ON,M3C 1P2,(416) 397-1341,https://www.torontobotanicalgarden.ca/,Wedding Venue,,,,,,other,unknown,unknown,both,4.6,5978,no,yes,https://torontobotanicalgarden.ca/bookings/weddings-social-occasions/,no,,no,no,,,75,"Dedicated weddings page with clear branding and botanical garden setting that naturally appeals to wedding couples, though specific details like capacity and coordinator are not shown in this HTML excerpt.",Celebrate your milestone occasion in one of Toronto's most beautiful botanical settings. A stunning garden venue offering year-round celebration spaces.,google_places,2026-05-18T10:09:29.081746+00:00,2026-05-18T10:45:03.549066+00:00
ChIJG74DgzLL1IkRu7-_ro1TbdY,One King West Hotel & Residence,"1 King St W, Toronto, ON M5H 1A1, Canada",Toronto,ON,M5H 1A1,(416) 548-8100,https://www.onekingwest.com/,Wedding Venue,,,,,1-866-470-5464,hotel,unknown,yes,unknown,4.4,5939,no,yes,https://www.onekingwest.com/weddings/,unknown,,no,no,,,75,"Established downtown Toronto hotel with dedicated weddings page and 500+ luxury suites, clearly markets to wedding groups despite limited visible details on this page load.",Historic luxury hotel in downtown Toronto's financial district with over 500 elegant suites. Perfect for sophisticated city weddings with guest accommodations.,google_places,2026-05-18T10:09:04.254922+00:00,2026-05-18T10:40:56.638054+00:00
ChIJnW2PIcK0Kk0Rwd4L7GV84MA,Horseshoe Valley Resort,"1101 Horseshoe Valley Rd W, Barrie, ON L4M 4Y8, Canada",Barrie,ON,L4M 4Y8,(705) 835-2790,http://horseshoeresort.com/,Wedding Venue,,,,,,resort,unknown,yes,unknown,4.1,5026,no,yes,https://horseshoeresort.com/groups/weddings/,unknown,,no,no,,@horseshoeresort,75,"Resort with dedicated weddings page and clear positioning as rustic & picturesque wedding destination, though specific details about coordinator, capacity, and packages are not visible in page head.",Horseshoe Valley Resort offers a rustic and picturesque destination for weddings near Barrie. Wide range of venues accommodate groups of varying sizes.,import:ontario_golf_venues,2026-05-18T11:26:42.750490+00:00,2026-05-18T11:49:45.360549+00:00
