place_id,name,address,city,province,postal_code,phone,website,category,capacity_min,capacity_max,coordinator_name,coordinator_email,coordinator_phone,venue_type,catering,accommodations,indoor_outdoor,rating,review_count,google_closed,has_weddings_page,weddings_page_url,has_packages,packages,has_pricing,has_testimonials,booking_platform,instagram_handle,wedding_readiness_score,score_reasoning,description,source,scraped_at,enriched_at
ChIJRTL7KtdwKogRq1HChw3A1Gk,Blue Mountain,"190 Gord Canning Dr, The Blue Mountains, ON L9Y 1C2, Canada",Collingwood,ON,L9Y 1C2,(833) 583-2583,https://www.bluemountain.ca/,Wedding Venue,,,,,,resort,unknown,yes,unknown,4.4,20153,no,yes,https://www.bluemountain.ca/weddings,unknown,,no,no,,,92,"Premier mountain resort with dedicated weddings page, bills itself as 'Canada's #1 Mountain Wedding Destination' with wedding coordinators and galleries mentioned in meta description.",Blue Mountain Resort is Canada's premier mountain wedding destination offering stunning Ontario scenery and professional wedding coordination services.,import:ontario_heritage_venues,2026-05-18T11:27:59.241794+00:00,2026-05-18T11:54:46.725860+00:00
ChIJ_QPLyvBa04kRW9IL73-PL3Y,White Oaks Conference Resort and Spa,"253 Taylor Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(800) 263-5766,http://www.whiteoaksresort.com/,Wedding Venue,,,,,,resort,unknown,yes,unknown,4.7,6704,no,yes,https://www.whiteoaksresort.com/weddings/,unknown,,no,unknown,,@white_oaks,92,"Premier resort with dedicated weddings page, professional SEO optimization for wedding searches, and clear positioning as a Niagara-on-the-Lake wedding destination with accommodations.",White Oaks Resort & Spa offers elegant Niagara-on-the-Lake weddings with full resort amenities. Your perfect event partner for a dream celebration.,google_places,2026-05-17T23:05:14.914328,2026-05-18T00:59:19.638961+00:00
ChIJWfGFlPB1LIgR9Wg6VTmerqQ,Langdon Hall Country House Hotel & Spa,"1 Langdon Dr, Cambridge, ON N3H 4R8, Canada",Cambridge,ON,N3H 4R8,(519) 740-2100,https://www.langdonhall.ca/,Wedding Venue,,,,,,hotel,unknown,yes,unknown,4.7,2174,no,yes,https://www.langdonhall.ca/weddings,no,,no,no,,@langdonhall,92,Premier country house hotel with dedicated weddings page URL and established luxury property known for hosting weddings with spa and accommodations onsite.,"An elegant country house hotel and spa set on a historic estate, offering refined wedding celebrations with luxury accommodations and sophisticated grounds.",google_places,2026-05-17T23:48:58.150980+00:00,2026-05-18T02:39:08.604456+00:00
ChIJ60yBO3Zf04kRWN0PMiDTm2Y,Queen's Landing,"155 Byron St, Niagara-on-the-Lake, ON L0S 1J0, Canada",Niagara-on-the-Lake,ON,L0S 1J0,(905) 468-2195,https://www.vintage-hotels.com/queens-landing/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business,Wedding Venue,,,,,,hotel,unknown,yes,unknown,4.4,1872,no,yes,https://www.vintage-hotels.com/queens-landing/weddings,no,,no,no,,,92,"Premier hotel property in Niagara-on-the-Lake with dedicated weddings page URL visible, meta description explicitly mentions weddings, and hotel infrastructure with accommodations ideal for destination weddings.",An opulent Georgian mansion overlooking the river in Niagara-on-the-Lake. The perfect location for your wedding with elegant event spaces and onsite accommodations.,import:ontario_heritage_venues,2026-05-18T11:29:42.107253+00:00,2026-05-18T12:04:46.477880+00:00
ChIJA4Oa7PCZLIgR4jdPQz3NyI4,Carmen's Event Centre,"1520 Stone Church Rd E, Hamilton, ON L8W 3P9, Canada",Hamilton,ON,L8W 3P9,(905) 387-9490,http://www.carmens.com/,Wedding Venue,,,,,,banquet hall,unknown,unknown,unknown,4.5,1847,no,yes,https://carmens.com/wedding-venue/,yes,all-inclusive wedding packages with planning services,no,yes,,,92,"Dedicated wedding venue page with clear wedding focus, all-inclusive packages, planning services, and professional branding as Hamilton's premier wedding venue.","Classic, elegant wedding venue in Hamilton offering stress-free, affordable all-inclusive packages and planning services for stylish celebrations.",google_places,2026-05-17T23:20:31.868874+00:00,2026-05-18T01:19:27.536050+00:00
ChIJ1Ug_PrEvK4gR-CHqaM2sTEU,Paradise Banquet & Convention Centre,"7601 Jane St, Concord, ON L4K 1X2, Canada",Vaughan,ON,L4K 1X2,(416) 661-6612,https://paradisebanquethalls.com/,Wedding Venue,,,,,,banquet hall,unknown,unknown,both,4.5,1752,no,yes,https://paradisebanquethalls.com/,unknown,,no,unknown,,,95,"Premier wedding venue with dedicated wedding focus evident in page title, meta description highlighting garden ceremonies and six opulent ballrooms, and comprehensive wedding-focused keywords.",Celebrate at Paradise with garden ceremonies and six elegant ballrooms in the Toronto/Vaughan area. Indoor and outdoor options for your perfect day.,google_places,2026-05-17T23:29:18.801138+00:00,2026-05-18T01:51:55.642730+00:00
ChIJZejXHbA0K4gRVuq7QVSGyNI,Windsor Arms Hotel,"18 St Thomas St, Toronto, ON M5S 3E7, Canada",Toronto,ON,M5S 3E7,(416) 971-9666,http://windsorarmshotel.com/,Wedding Venue,,,,,,hotel,unknown,yes,unknown,4,1498,no,yes,https://windsorarmshotel.com/weddings/,yes,Multiple wedding packages mentioned,no,no,,,92,"Premier luxury hotel with dedicated weddings page, multiple packages mentioned, and meta description positioning it as a fairytale wedding venue in Toronto.",The Windsor Arms Hotel offers an elegant Toronto wedding venue with multiple packages for your fairytale celebration in the heart of the city.,google_places,2026-05-18T10:09:00.949524+00:00,2026-05-18T10:40:24.669706+00:00
ChIJ5Q9hnDHX1IkRKv02AUZ5VRY,Scarborough Convention Centre,"20 Torham Pl, Scarborough, ON M1X 0B3, Canada",Toronto,ON,M1X 0B3,(416) 335-6060,http://www.scarboroughcc.com/,Wedding Venue,,,,,,banquet hall,unknown,unknown,indoor,4.4,1454,no,no,,no,,no,no,,,92,"Premier wedding venue with weddings prominently featured in hero tagline, meta description, and keywords, plus 42,000 sq ft facility with 20 years experience and 1500+ events hosted.","Scarborough Convention Centre offers elegant wedding experiences in a 42,000 sq ft facility backed by 20 years expertise and over 1500 successful events.",google_places,2026-05-17T23:30:22.103586+00:00,2026-05-18T01:56:36.667334+00:00
ChIJZ-U-paU8K4gRMOHlPaOYDGQ,Embassy Grand Convention Centre and Banquet Hall in Brampton,"8800 The Gore Rd, Brampton, ON L6P 0B1, Canada",Brampton,ON,L6P 0B1,(905) 794-9588,https://www.embassygrand.ca/,Wedding Venue,,,,,,banquet hall,unknown,unknown,both,4.4,1381,no,yes,https://www.embassygrand.ca/weddings-social-events.html,unknown,,no,unknown,,,92,"Premier banquet hall with weddings prominently featured in meta description, dedicated weddings page in navigation, and explicit marketing as leading venue for indoor/outdoor weddings and receptions.",Embassy Grand is Brampton's leading convention centre and banquet hall specializing in indoor and outdoor weddings. This premier venue offers elegant spaces for wedding receptions and social events.,google_places,2026-05-17T23:28:10.907462+00:00,2026-05-18T01:46:24.745105+00:00
ChIJ4VBLtd_Q1IkRxIIqPNz8OsQ,The Estate Banquet & Event Centre,"430 Nugget Ave, Scarborough, ON M1S 4A4, Canada",Toronto,ON,M1S 4A4,(416) 293-9292,http://www.estatebanquets.com/,Wedding Venue,,,,,,banquet hall,unknown,unknown,unknown,4.3,965,no,yes,http://www.estatebanquets.com/,unknown,,no,unknown,,,92,"Premier wedding venue with 'Wedding & Event Venue' prominently in title, meta description emphasizes weddings first, and name includes 'Banquet & Event Centre' clearly targeting the wedding market.",Toronto's premier banquet hall combining historic charm with modern elegance. A meticulously restored venue perfect for weddings and celebrations.,google_places,2026-05-17T23:30:21.523154+00:00,2026-05-18T01:56:25.650921+00:00
